Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
496,Shri T R Baalu,Sriperumbudur,Tamil Nadu,32 ,17-06-2019,06-08-2019
65,Prof. S  P Singh Baghel,Agra,Uttar Pradesh,36 ,17-06-2019,06-08-2019
431,Shri Sudip Bandyopadhyay,Kolkata Uttar,West Bengal,35 ,17-06-2019,06-08-2019
140,Shri Gangasandra Siddappa Basavaraj,Tumkur,Karnataka,33 ,17-06-2019,06-08-2019
202,Shri Nand Kumar Singh Chauhan,Khandwa,Madhya Pradesh,34 ,17-06-2019,06-08-2019
139,Shri Nihal Chand Chauhan,Ganganagar,Rajasthan,30 ,17-06-2019,06-08-2019
498,Shri Adhir Ranjan Chowdhury,Baharampur,West Bengal,36 ,17-06-2019,06-08-2019
291,"Delkar, Shri Mohan S.",Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,30 ,17-06-2019,06-08-2019
131,Smt. Maneka Sanjay Gandhi,Sultanpur,Uttar Pradesh,28 ,17-06-2019,06-08-2019
497,Smt. Sonia Gandhi,Rae Bareli,Uttar Pradesh,29 ,17-06-2019,06-08-2019
296,Ms.  Bhavana Gawali (Patil),Yavatmal-Washim,Maharashtra,12 ,17-06-2019,06-08-2019
509,Shri S Jagathratchakan,Arakkonam,Tamil Nadu,14 ,17-06-2019,06-08-2019
211,Shri Jai Prakash,Hardoi,Uttar Pradesh,34 ,17-06-2019,06-08-2019
212,Shri Ramesh Chandappa Jigajinagi,Bijapur,Karnataka,36 ,17-06-2019,06-08-2019
534,Smt. Preneet Kaur,Patiala,Punjab,31 ,17-06-2019,06-08-2019
360,Shri Bhartruhari Mahtab,Cuttack,Odisha,36 ,17-06-2019,06-08-2019
88,Smt. Jaskaur Meena,Dausa,Rajasthan,33 ,17-06-2019,06-08-2019
506,Shri K. Muraleedharan,Vadakara,Kerala,37 ,17-06-2019,06-08-2019
13,Shri Shripad Yesso Naik,North Goa,Goa,1 ,17-06-2019,06-08-2019
213,Shri Jual Oram,Sundargarh,Odisha,37 ,17-06-2019,06-08-2019
508,Shri S.S. Palanimanickam,Thanjavur,Tamil Nadu,24 ,17-06-2019,06-08-2019
552,Shri Ramchandra Paswan,Samastipur,Bihar,19 ,17-06-2019,06-08-2019
127,Shri Raosaheb Dadarao Danve,Jalna,Maharashtra,3 ,17-06-2019,06-08-2019
209,Shri V. Sreenivasa Prasad,Chamrajanagar,Karnataka,30 ,17-06-2019,06-08-2019
502,Shri Raja A,Nilgiris,Tamil Nadu,34 ,17-06-2019,06-08-2019
129,Shri Rajiv Pratap Rudy,Saran,Bihar,35 ,17-06-2019,06-08-2019
215,Smt. Sangeeta Kumari Singh Deo,Bolangir,Odisha,36 ,17-06-2019,06-08-2019
208,Shri Brijbhushan Sharan Singh,Kaiserganj,Uttar Pradesh,36 ,17-06-2019,06-08-2019
286,Shri Radha Mohan Singh,Purvi Champaran,Bihar,36 ,17-06-2019,06-08-2019
504,Shri Kodikunnil Suresh,Mavelikkara,Kerala,36 ,17-06-2019,06-08-2019
520,Shri Su. Thirunavukkarasar,Tiruchirappalli,Tamil Nadu,23 ,17-06-2019,06-08-2019
205,Shri Mansukhbhai Dhanjibhai Vasava,Bharuch,Gujarat,33 ,17-06-2019,06-08-2019
83,Shri Rajesh Verma,Sitapur,Uttar Pradesh,34 ,17-06-2019,06-08-2019
124,Dr. Virendra Kumar,Tikamgarh,Madhya Pradesh,34 ,17-06-2019,06-08-2019
357,Shri Dinesh Chandra Yadav,Madhepura,Bihar,33 ,17-06-2019,06-08-2019
455,Shri Mulayam Singh Yadav,Mainpuri,Uttar Pradesh,21 ,17-06-2019,06-08-2019
460,Shri Akhilesh Yadav,Kannauj,Uttar Pradesh,13 ,17-06-2019,06-08-2019
437,Prof. Sougata Ray,Dum Dum,West Bengal,33 ,17-06-2019,06-08-2019
432,Dr. Farooq Abdullah,Srinagar,Jammu and Kashmir,27 ,17-06-2019,06-08-2019
82,Shri Chhedi Paswan,Sasaram,Bihar,36 ,17-06-2019,06-08-2019
455,Shri Muniyan Selvaraj,Nagapattinam,Tamil Nadu,29 ,17-06-2019,06-08-2019
125,Shri Pankaj Choudhary,Maharajganj,Uttar Pradesh,36 ,17-06-2019,06-08-2019
207,Dr. Swami Sachidanand Hari Sakshi,Unnao,Uttar Pradesh,35 ,17-06-2019,06-08-2019
218,Shri Virendra Singh,Ballia,Uttar Pradesh,35 ,17-06-2019,06-08-2019
381,Shri Sukhbir Singh Badal,Ferozpur,Punjab,11 ,17-06-2019,06-08-2019
225,Shri Subhash Chandra Baheria,Bhilwara,Rajasthan,37 ,17-06-2019,06-08-2019
461,Shri Shafiqur Rahman Barq,Sambhal,Uttar Pradesh,37 ,17-06-2019,06-08-2019
85,Shri Chhatar Singh Darbar,Dhar,Madhya Pradesh,24 ,17-06-2019,06-08-2019
141,Shri Anantkumar Hegde,Uttara Kannada,Karnataka,33 ,17-06-2019,06-08-2019
356,Shri Pinaki Misra,Puri,Odisha,33 ,17-06-2019,06-08-2019
511,Shri N K Premachandran,Kollam,Kerala,35 ,17-06-2019,06-08-2019
216,Dr. Arvind Kumar Sharma,Rohtak,Haryana,25 ,17-06-2019,06-08-2019
64,Shri Bhanu Pratap Singh Verma,Jalaun,Uttar Pradesh,36 ,17-06-2019,06-08-2019
361,Shri Giridhari Yadav,Banka,Bihar,28 ,17-06-2019,06-08-2019
206,Shri Ram Kripal Yadav,Pataliputra,Bihar,36 ,17-06-2019,06-08-2019
470,Shri A. Ganeshamurthi,Erode,Tamil Nadu,36 ,17-06-2019,06-08-2019
142,Smt. Rama Devi,Sheohar,Bihar,36 ,17-06-2019,06-08-2019
358,Shri Magunta Sreenivasulu Reddy,Ongole,Andhra Pradesh,26 ,17-06-2019,06-08-2019
438,Shri Francisco Cosme Sardinha,South Goa,Goa,35 ,17-06-2019,06-08-2019
79,Shri Kirti Vardhan Singh,Gonda,Uttar Pradesh,30 ,17-06-2019,06-08-2019
80,Shri Sushil Kumar Singh,Aurangabad,Bihar,36 ,17-06-2019,06-08-2019
86,Shri Tapir Gao,Arunachal East,Arunachal Pradesh,37 ,17-06-2019,06-08-2019
137,Shri Gowdar Mallikarjunappa Siddeshwara,Davanagere,Karnataka,35 ,17-06-2019,06-08-2019
202,Shri Devaragunda Venkappa Sadananda Gowda,Bangalore North,Karnataka,1 ,17-06-2019,06-08-2019
7,Shri Pralhad Joshi,Dharwad,Karnataka,1 ,17-06-2019,06-08-2019
105,Shri Suresh Chanabasappa Angadi,Belgaum,Karnataka,11 ,17-06-2019,06-08-2019
33,Shri Gaddigoudar Parvatagouda Chandanagouda,Bagalkot,Karnataka,35 ,17-06-2019,06-08-2019
29,Shri Ganesh Singh,Satna,Madhya Pradesh,36 ,17-06-2019,06-08-2019
22,Shri Rakesh Singh,Jabalpur,Madhya Pradesh,28 ,17-06-2019,06-08-2019
47,Shri Sanjay Shamrao Dhotre,Akola,Maharashtra,2 ,17-06-2019,06-08-2019
217,Shri Dushyant Singh,Jhalawar-Baran,Rajasthan,32 ,17-06-2019,06-08-2019
307,Shri Guharam Ajgalley,Janjgir-Champa,Chhattisgarh,36 ,17-06-2019,06-08-2019
362,Shri Balashowry Vallabhaneni,Machilipatnam,Andhra Pradesh,33 ,17-06-2019,06-08-2019
364,Shri Chandra Sekhar Sahu,Berhampur,Odisha,34 ,17-06-2019,06-08-2019
505,Shri Rahul Gandhi,Rae Bareli,Uttar Pradesh,21 ,17-06-2019,06-08-2019
448,Shri Subbarayan K,Tiruppur,Tamil Nadu,26 ,17-06-2019,06-08-2019
444,Shri Asaduddin Owaisi,Hyderabad,Telangana,33 ,17-06-2019,06-08-2019
