Division No.,Member Name,Constiituency,State,No of Days Member signed the register
496,Shri T R Baalu,Sriperumbudur,Tamil Nadu,18 
65,Prof. S  P Singh Baghel,Agra,Uttar Pradesh,16 
431,Shri Sudip Bandyopadhyay,Kolkata Uttar,West Bengal,20 
140,Shri Gangasandra Siddappa Basavaraj,Tumkur,Karnataka,17 
202,Shri Nand Kumar Singh Chauhan,Khandwa,Madhya Pradesh,12 
139,Shri Nihal Chand Chauhan,Ganganagar,Rajasthan,19 
498,Shri Adhir Ranjan Chowdhury,Baharampur,West Bengal,19 
291,"Delkar, Shri Mohan S.",Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,20 
131,Smt. Maneka Sanjay Gandhi,Sultanpur,Uttar Pradesh,17 
497,Smt. Sonia Gandhi,Rae Bareli,Uttar Pradesh,12 
296,Ms.  Bhavana Gawali (Patil),Yavatmal-Washim,Maharashtra,6 
509,Shri S Jagathratchakan,Arakkonam,Tamil Nadu,12 
211,Shri Jai Prakash,Hardoi,Uttar Pradesh,12 
212,Shri Ramesh Chandappa Jigajinagi,Bijapur,Karnataka,19 
534,Smt. Preneet Kaur,Patiala,Punjab,18 
14,Dr. Faggan Singh Kulaste,Mandla,Madhya Pradesh,1 
360,Shri Bhartruhari Mahtab,Cuttack,Odisha,19 
88,Smt. Jaskaur Meena,Dausa,Rajasthan,20 
506,Shri K. Muraleedharan,Vadakara,Kerala,20 
213,Shri Jual Oram,Sundargarh,Odisha,20 
508,Shri S.S. Palanimanickam,Thanjavur,Tamil Nadu,8 
443,Shri Shriniwas Dadasaheb Patil,Satara,Maharashtra,17 
209,Shri V. Sreenivasa Prasad,Chamrajanagar,Karnataka,8 
502,Shri Raja A,Nilgiris,Tamil Nadu,19 
129,Shri Rajiv Pratap Rudy,Saran,Bihar,20 
215,Smt. Sangeeta Kumari Singh Deo,Bolangir,Odisha,17 
208,Shri Brijbhushan Sharan Singh,Kaiserganj,Uttar Pradesh,19 
286,Shri Radha Mohan Singh,Purvi Champaran,Bihar,19 
504,Shri Kodikunnil Suresh,Mavelikkara,Kerala,20 
520,Shri Su. Thirunavukkarasar,Tiruchirappalli,Tamil Nadu,17 
205,Shri Mansukhbhai Dhanjibhai Vasava,Bharuch,Gujarat,20 
83,Shri Rajesh Verma,Sitapur,Uttar Pradesh,17 
124,Dr. Virendra Kumar,Tikamgarh,Madhya Pradesh,19 
357,Shri Dinesh Chandra Yadav,Madhepura,Bihar,17 
455,Shri Mulayam Singh Yadav,Mainpuri,Uttar Pradesh,17 
460,Shri Akhilesh Yadav,Kannauj,Uttar Pradesh,3 
437,Prof. Sougata Ray,Dum Dum,West Bengal,19 
82,Shri Chhedi Paswan,Sasaram,Bihar,4 
455,Shri Muniyan Selvaraj,Nagapattinam,Tamil Nadu,16 
125,Shri Pankaj Choudhary,Maharajganj,Uttar Pradesh,20 
207,Dr. Swami Sachidanand Hari Sakshi,Unnao,Uttar Pradesh,20 
218,Shri Virendra Singh,Ballia,Uttar Pradesh,17 
381,Shri Sukhbir Singh Badal,Ferozpur,Punjab,5 
225,Shri Subhash Chandra Baheria,Bhilwara,Rajasthan,19 
461,Shri Shafiqur Rahman Barq,Sambhal,Uttar Pradesh,20 
85,Shri Chhatar Singh Darbar,Dhar,Madhya Pradesh,18 
141,Shri Anantkumar Hegde,Uttara Kannada,Karnataka,18 
356,Shri Pinaki Misra,Puri,Odisha,18 
511,Shri N K Premachandran,Kollam,Kerala,19 
216,Dr. Arvind Kumar Sharma,Rohtak,Haryana,18 
64,Shri Bhanu Pratap Singh Verma,Jalaun,Uttar Pradesh,19 
361,Shri Giridhari Yadav,Banka,Bihar,15 
206,Shri Ram Kripal Yadav,Pataliputra,Bihar,11 
470,Shri A. Ganeshamurthi,Erode,Tamil Nadu,18 
142,Smt. Rama Devi,Sheohar,Bihar,20 
358,Shri Magunta Sreenivasulu Reddy,Ongole,Andhra Pradesh,15 
438,Shri Francisco Cosme Sardinha,South Goa,Goa,17 
79,Shri Kirti Vardhan Singh,Gonda,Uttar Pradesh,19 
80,Shri Sushil Kumar Singh,Aurangabad,Bihar,19 
